Epoch,Training_Error
1,1.27616276
2,0.89775672
3,0.83883685
4,0.80119859
5,0.76783011
6,0.73558552
7,0.70334178
8,0.67085908
9,0.63893828
10,0.60825581
11,0.57833290
12,0.54838461
13,0.51851761
14,0.48992260
15,0.46375115
16,0.44033750
17,0.41948604
18,0.40086302
19,0.38414138
20,0.36903579
21,0.35530951
22,0.34276969
23,0.33125672
24,0.32063395
25,0.31078273
26,0.30160253
27,0.29301219
28,0.28494904
29,0.27736573
30,0.27022606
31,0.26350130
32,0.25716734
33,0.25120270
34,0.24558716
35,0.24030095
36,0.23532434
37,0.23063755
38,0.22622093
39,0.22205503
40,0.21812081
41,0.21439975
42,0.21087384
43,0.20752561
44,0.20433796
45,0.20129401
46,0.19837676
47,0.19556874
48,0.19285137
49,0.19020414
50,0.18760334
51,0.18502015
52,0.18241762
53,0.17974572
54,0.17693301
55,0.17387202
56,0.17039345
57,0.16622061
58,0.16089776
59,0.15372942
60,0.14398772
61,0.13200586
62,0.12020738
63,0.11055405
64,0.10262844
65,0.09574123
66,0.08974423
67,0.08457590
68,0.08011781
69,0.07623929
70,0.07282798
71,0.06979518
72,0.06707258
73,0.06460753
74,0.06235910
75,0.06029508
76,0.05838979
77,0.05662247
78,0.05497616
79,0.05343683
80,0.05199274
81,0.05063400
82,0.04935217
83,0.04814000
84,0.04699123
85,0.04590040
86,0.04486272
87,0.04387398
88,0.04293043
89,0.04202874
90,0.04116594
91,0.04033935
92,0.03954656
93,0.03878537
94,0.03805380
95,0.03735005
96,0.03667246
97,0.03601952
98,0.03538983
99,0.03478211
100,0.03419518
101,0.03362795
102,0.03307940
103,0.03254859
104,0.03203463
105,0.03153673
106,0.03105410
107,0.03058605
108,0.03013189
109,0.02969101
110,0.02926282
111,0.02884677
112,0.02844233
113,0.02804902
114,0.02766637
115,0.02729395
116,0.02693136
117,0.02657819
118,0.02623408
119,0.02589868
120,0.02557166
121,0.02525270
122,0.02494152
123,0.02463781
124,0.02434132
125,0.02405179
126,0.02376896
127,0.02349262
128,0.02322253
129,0.02295849
130,0.02270029
131,0.02244774
132,0.02220065
133,0.02195884
134,0.02172216
135,0.02149043
136,0.02126351
137,0.02104123
138,0.02082346
139,0.02061007
140,0.02040092
141,0.02019589
142,0.01999485
143,0.01979769
144,0.01960429
145,0.01941456
146,0.01922838
147,0.01904566
148,0.01886630
149,0.01869021
150,0.01851730
151,0.01834748
152,0.01818068
153,0.01801680
154,0.01785579
155,0.01769755
156,0.01754203
157,0.01738914
158,0.01723883
159,0.01709103
160,0.01694568
161,0.01680271
162,0.01666207
163,0.01652371
164,0.01638756
165,0.01625357
166,0.01612170
167,0.01599190
168,0.01586410
169,0.01573828
170,0.01561438
171,0.01549237
172,0.01537219
173,0.01525380
174,0.01513718
175,0.01502227
176,0.01490904
177,0.01479746
178,0.01468748
179,0.01457908
180,0.01447222
181,0.01436687
182,0.01426300
183,0.01416057
184,0.01405955
185,0.01395993
186,0.01386166
187,0.01376472
188,0.01366909
189,0.01357474
190,0.01348164
191,0.01338976
192,0.01329909
193,0.01320961
194,0.01312128
195,0.01303409
196,0.01294801
197,0.01286302
198,0.01277911
199,0.01269625
200,0.01261442
201,0.01253360
202,0.01245378
203,0.01237494
204,0.01229706
205,0.01222012
206,0.01214410
207,0.01206900
208,0.01199478
209,0.01192144
210,0.01184897
211,0.01177734
212,0.01170654
213,0.01163656
214,0.01156738
215,0.01149900
216,0.01143139
217,0.01136454
218,0.01129844
219,0.01123309
220,0.01116845
221,0.01110454
222,0.01104132
223,0.01097880
224,0.01091695
225,0.01085578
226,0.01079526
227,0.01073539
228,0.01067616
229,0.01061755
230,0.01055957
231,0.01050219
232,0.01044541
233,0.01038922
234,0.01033360
235,0.01027856
236,0.01022409
237,0.01017016
238,0.01011679
239,0.01006395
240,0.01001164
241,0.00995985
242,0.00990858
243,0.00985781
244,0.00980754
245,0.00975776
246,0.00970847
247,0.00965966
248,0.00961132
249,0.00956344
250,0.00951602
251,0.00946905
252,0.00942252
253,0.00937643
254,0.00933078
255,0.00928555
256,0.00924075
257,0.00919635
258,0.00915237
259,0.00910879
260,0.00906561
261,0.00902282
262,0.00898042
263,0.00893840
264,0.00889676
265,0.00885549
266,0.00881458
267,0.00877404
268,0.00873386
269,0.00869403
270,0.00865455
271,0.00861541
272,0.00857662
273,0.00853815
274,0.00850002
275,0.00846222
276,0.00842473
277,0.00838757
278,0.00835072
279,0.00831418
280,0.00827795
281,0.00824202
282,0.00820638
