Iteration,Training_Error
1,1.77292897
2,1.69665244
3,1.71354612
4,1.77723959
5,1.52405196
6,1.59862421
7,1.46259497
8,1.62522902
9,0.52131081
10,1.25810211
11,0.94760171
12,0.58831867
13,1.42064634
14,0.78943102
15,1.14053972
16,0.70393403
17,0.61372770
18,0.40798536
19,1.46460115
20,1.48829987
21,0.84151609
22,1.82622362
23,1.72683304
24,1.71796770
25,0.96039299
26,0.99306792
27,0.99129772
28,0.99528371
29,1.05973765
30,1.05704839
31,0.74479761
32,0.82273227
33,0.41389796
34,0.90664099
35,0.79783813
36,0.50662095
37,1.02339892
38,0.79242206
39,0.83653726
40,0.67578339
41,0.42079639
42,0.39693270
43,1.14815269
44,1.18775346
45,0.82787396
46,1.31153035
47,1.34311020
48,1.33251354
49,0.90774314
50,0.94521847
51,0.93636846
52,0.93847348
53,1.00881541
54,0.98834585
55,0.66231615
56,0.70187589
57,0.36583304
58,0.86020471
59,0.74481703
60,0.47067631
61,0.98056673
62,0.81071511
63,0.77777761
64,0.59228973
65,0.35897153
66,0.34477497
67,1.10200248
68,1.13498837
69,0.83207941
70,1.20059421
71,1.24925242
72,1.21738394
73,0.88736843
74,0.92652565
75,0.91166426
76,0.89731390
77,0.98126744
78,0.94326675
79,0.61703751
80,0.65150154
81,0.32113020
82,0.81509391
83,0.68167257
84,0.40539793
85,0.96332865
86,0.80851176
87,0.74064996
88,0.50348625
89,0.31099325
90,0.29192235
91,1.09001235
92,1.11823986
93,0.82397976
94,1.15798596
95,1.21035099
96,1.17006507
97,0.87028515
98,0.91098674
99,0.89030789
100,0.84644576
101,0.95226060
102,0.88988996
103,0.57917017
104,0.61986528
105,0.28406907
106,0.75954935
107,0.60582508
108,0.32772766
109,0.95005832
110,0.79707905
111,0.70387396
112,0.42791493
113,0.28014792
114,0.25311692
115,1.08829804
116,1.11206453
117,0.81077582
118,1.13500077
119,1.18688933
120,1.14632025
121,0.85171072
122,0.89379102
123,0.86649805
124,0.77502157
125,0.91153628
126,0.81361589
127,0.54613157
128,0.59482456
129,0.25558471
130,0.69613608
131,0.52743915
132,0.25751509
133,0.94084794
134,0.78218087
135,0.66410272
136,0.36913961
137,0.25859339
138,0.22735315
139,1.09175431
140,1.11016652
141,0.79723466
142,1.12031752
143,1.16926600
144,1.13329114
145,0.82942989
146,0.87256312
147,0.83719009
148,0.67703275
149,0.85071176
150,0.70610464
151,0.51856504
152,0.57253337
153,0.23586180
154,0.62972442
155,0.45659959
156,0.20545061
157,0.93619706
158,0.76638283
159,0.62166604
160,0.32508112
161,0.24044847
162,0.21207493
163,1.09907185
164,1.11046644
165,0.78539811
166,1.11049302
167,1.15471464
168,1.12644110
169,0.80137775
170,0.84501526
171,0.79965260
172,0.56007342
173,0.76868524
174,0.57840292
175,0.49673716
176,0.55182775
177,0.22334792
178,0.56319614
179,0.39750711
180,0.17085637
181,0.93285229
182,0.75009446
183,0.57800884
184,0.29249297
185,0.22360731
186,0.20404816
187,1.10728198
188,1.11099905
189,0.77422397
190,1.10413533
191,1.14260877
192,1.12358510
193,0.76456093
194,0.80764090
195,0.74983913
196,0.44967610
197,0.67941449
198,0.46416063
199,0.47693871
200,0.53021834
201,0.21323877
202,0.49787709
203,0.35001316
204,0.14891064
205,0.92488704
206,0.73187489
207,0.53477184
208,0.26745177
209,0.20790265
210,0.19911419
211,1.11077228
212,1.10914383
213,0.76005794
214,1.10029654
215,1.13270739
216,1.12304949
217,0.71486690
218,0.75538133
219,0.68220849
220,0.36614320
221,0.60066292
222,0.38418822
223,0.45558612
224,0.50615763
225,0.20188720
226,0.43618584
227,0.31243966
228,0.13535155
229,0.90960674
230,0.71016437
231,0.49340691
232,0.24733611
233,0.19387476
234,0.19459357
235,1.10741833
236,1.10408600
237,0.73969060
238,1.09839521
239,1.12466916
240,1.12383875
241,0.64836830
242,0.68330681
243,0.59297654
244,0.30862400
245,0.53824711
246,0.33286767
247,0.43338857
248,0.48094300
249,0.18955099
250,0.38151953
251,0.28298438
252,0.12723213
253,0.88832438
254,0.68452852
255,0.45466561
256,0.23102108
257,0.18191388
258,0.18982766
259,1.09916593
260,1.09666784
261,0.71179728
262,1.09818532
263,1.11822779
264,1.12565536
265,0.56414697
266,0.59064543
267,0.48677856
268,0.26820607
269,0.48879634
270,0.29771697
271,0.41205537
272,0.45607672
273,0.17741968
274,0.33543512
275,0.25951645
276,0.12203522
277,0.86277817
278,0.65494236
279,0.41798152
280,0.21764384
281,0.17189653
282,0.18471753
283,1.08810895
284,1.08770268
285,0.67591562
286,1.09931452
287,1.11318635
288,1.12821366
289,0.46847455
290,0.48626381
291,0.38101786
292,0.23775525
293,0.44661323
294,0.26941982
295,0.39228944
296,0.43205380
297,0.16588040
298,0.29691207
299,0.23967406
300,0.11734715
301,0.83371220
302,0.62119797
303,0.38179886
304,0.20620451
305,0.16330757
306,0.17910845
307,1.07517021
308,1.07748846
309,0.63195349
310,1.10087417
311,1.10921427
312,1.13069111
313,0.37490309
314,0.38709257
315,0.29496079
316,0.21319831
317,0.40782634
318,0.24355997
319,0.37413821
320,0.40899203
321,0.15496780
322,0.26411105
323,0.22179601
324,0.11164907
325,0.80126848
326,0.58316704
327,0.34535796
328,0.19590323
329,0.15561127
330,0.17300945
331,1.06045203
332,1.06598917
333,0.58083520
334,1.10162285
335,1.10578917
336,1.13194135
337,0.29548016
338,0.30585088
339,0.23395707
340,0.19275965
341,0.37186823
342,0.21972464
343,0.35746988
344,0.38712157
345,0.14489898
346,0.23591766
347,0.20534084
348,0.10485981
349,0.76567627
350,0.54139189
351,0.30967377
352,0.18641956
353,0.14852768
354,0.16671354
355,1.04376982
356,1.05306146
357,0.52524726
358,1.10073240
359,1.10237040
360,1.13119414
361,0.23384125
362,0.24471284
363,0.19224809
364,0.17567607
365,0.33942865
366,0.19868897
367,0.34204617
368,0.36660552
369,0.13588767
370,0.21184594
371,0.19025500
372,0.09765512
373,0.72752789
374,0.49721823
375,0.27641348
376,0.17770703
377,0.14196618
378,0.16056427
379,1.02499070
380,1.03856367
381,0.46924032
382,1.09808195
383,1.09860260
384,1.12833238
385,0.18777597
386,0.20011706
387,0.16287567
388,0.16138757
389,0.31068769
390,0.18077527
391,0.32757357
392,0.34738935
393,0.12794294
394,0.19142403
395,0.17640883
396,0.09067149
397,0.68771184
398,0.45245491
399,0.24673014
400,0.16973829
401,0.13587673
402,0.15477468
403,1.00412482
404,1.02236908
405,0.41668401
406,1.09403361
407,1.09441466
408,1.12372278
409,0.15365272
410,0.16767464
411,0.14115699
412,0.14938841
413,0.28531679
414,0.16579324
415,0.31384718
416,0.32929425
417,0.12094236
418,0.17400189
419,0.16355373
420,0.08427291
421,0.64726618
422,0.40892057
423,0.22103218
424,0.16245939
425,0.13020942
426,0.14942754
427,0.98125217
428,1.00433578
429,0.36985285
430,1.08912812
431,1.08997374
432,1.11795943
433,0.12827274
434,0.14379521
435,0.12436174
436,0.13927666
437,0.26290528
438,0.15335331
439,0.30081369
440,0.31214089
441,0.11474568
442,0.15888937
443,0.15146828
444,0.07861119
445,0.60722877
446,0.36808724
447,0.19919687
448,0.15581449
449,0.12492497
450,0.14452865
451,0.95641971
452,0.98427608
453,0.32923591
454,1.08386783
